user_id,product_id,event_type,event_time
2937.0,71080.0,purchase,2026-03-24T15:34:16.159913
3577.0,67609.0,cart,2026-03-24T15:34:16.159939
3902.0,22820.0,cart,2026-03-24T15:34:16.159948
4247.0,74808.0,purchase,2026-03-24T15:34:16.159954
3846.0,83707.0,view,2026-03-24T15:34:16.159960
9339.0,44011.0,view,2026-03-24T15:34:16.159966
4713.0,62996.0,purchase,2026-03-24T15:34:16.159971
7535.0,33306.0,cart,2026-03-24T15:34:16.159977
2143.0,90248.0,wishlist,2026-03-24T15:34:16.159983
,,cart,2026-03-24T15:34:16.160028
7147.0,,,2026-03-24T15:34:16.160045
1362.0,93820.0,view,2026-03-24T15:34:16.160052
5020.0,44713.0,cart,2026-03-24T15:34:16.160059
8954.0,55808.0,view,2026-03-24T15:34:16.160065
3237.0,60055.0,cart,2026-03-24T15:34:16.160071
2501.0,88877.0,cart,2026-03-24T15:34:16.160076
5949.0,33163.0,purchase,2026-03-24T15:34:16.160082
7429.0,89769.0,purchase,2026-03-24T15:34:16.160088
6848.0,48277.0,wishlist,2026-03-24T15:34:16.160094
1419.0,57302.0,view,2026-03-24T15:34:16.160099
9513.0,23870.0,purchase,2026-03-24T15:34:16.160105
5708.0,75577.0,view,2026-03-24T15:34:16.160111
2090.0,58919.0,view,2026-03-24T15:34:16.160117
2995.0,99057.0,purchase,2026-03-24T15:34:16.160123
6447.0,88272.0,purchase,2026-03-24T15:34:16.160129
7818.0,58819.0,purchase,2026-03-24T15:34:16.160135
3948.0,60168.0,purchase,2026-03-24T15:34:16.160140
5508.0,59887.0,cart,2026-03-24T15:34:16.160145
4268.0,31210.0,view,2026-03-24T15:34:16.160150
5519.0,10007.0,view,2026-03-24T15:34:16.160155
6176.0,68100.0,wishlist,2026-03-24T15:34:16.160160
7138.0,19170.0,purchase,2026-03-24T15:34:16.160165
4966.0,88325.0,purchase,2026-03-24T15:34:16.160172
6097.0,95064.0,view,2026-03-24T15:34:16.160177
9577.0,53762.0,wishlist,2026-03-24T15:34:16.160182
2778.0,85350.0,cart,2026-03-24T15:34:16.160187
6818.0,40232.0,purchase,2026-03-24T15:34:16.160192
7455.0,72595.0,wishlist,2026-03-24T15:34:16.160198
9833.0,66019.0,view,2026-03-24T15:34:16.160204
3238.0,22885.0,view,2026-03-24T15:34:16.160210
7695.0,34771.0,cart,2026-03-24T15:34:16.160216
1293.0,77379.0,wishlist,2026-03-24T15:34:16.160222
7600.0,73976.0,wishlist,2026-03-24T15:34:16.160228
2014.0,97387.0,cart,2026-03-24T15:34:16.160233
8364.0,25800.0,cart,2026-03-24T15:34:16.160238
,,,2026-03-24T15:34:16.160250
6512.0,70760.0,wishlist,2026-03-24T15:34:16.160256
,25169.0,view,2026-03-24T15:34:16.160264
,23856.0,,2026-03-24T15:34:16.160273
2262.0,15064.0,view,2026-03-24T15:34:16.160278
4740.0,16520.0,purchase,2026-03-24T15:34:16.160285
3511.0,99497.0,view,2026-03-24T15:34:16.160295
2578.0,44629.0,wishlist,2026-03-24T15:34:16.160302
1061.0,32766.0,wishlist,2026-03-24T15:34:16.160308
,,,2026-03-24T15:34:16.160319
8018.0,98404.0,purchase,2026-03-24T15:34:16.160324
1929.0,24897.0,wishlist,2026-03-24T15:34:16.160330
6998.0,12278.0,wishlist,2026-03-24T15:34:16.160337
5660.0,33125.0,view,2026-03-24T15:34:16.160343
9543.0,72335.0,wishlist,2026-03-24T15:34:16.160349
,93643.0,purchase,2026-03-24T15:34:16.160356
3537.0,35921.0,cart,2026-03-24T15:34:16.160362
4825.0,71961.0,wishlist,2026-03-24T15:34:16.160368
1564.0,55840.0,view,2026-03-24T15:34:16.160374
6841.0,50928.0,cart,2026-03-24T15:34:16.160381
8611.0,16401.0,view,2026-03-24T15:34:16.160387
9923.0,80481.0,purchase,2026-03-24T15:34:16.160393
2919.0,38580.0,wishlist,2026-03-24T15:34:16.160399
2894.0,28658.0,wishlist,2026-03-24T15:34:16.160407
2091.0,87791.0,purchase,2026-03-24T15:34:16.160413
5107.0,27906.0,wishlist,2026-03-24T15:34:16.160418
3172.0,65160.0,wishlist,2026-03-24T15:34:16.160423
7553.0,14646.0,view,2026-03-24T15:34:16.160428
3233.0,92784.0,cart,2026-03-24T15:34:16.160436
6720.0,37809.0,view,2026-03-24T15:34:16.160445
3077.0,68394.0,view,2026-03-24T15:34:16.160453
6464.0,37398.0,wishlist,2026-03-24T15:34:16.160468
4580.0,72135.0,view,2026-03-24T15:34:16.160477
1940.0,22923.0,view,2026-03-24T15:34:16.160486
7219.0,25209.0,view,2026-03-24T15:34:16.160493
8107.0,81207.0,purchase,2026-03-24T15:34:16.160511
9384.0,83036.0,view,2026-03-24T15:34:16.160522
2866.0,87213.0,view,2026-03-24T15:34:16.160531
4629.0,15669.0,cart,2026-03-24T15:34:16.160538
2889.0,20424.0,wishlist,2026-03-24T15:34:16.160546
7514.0,89566.0,cart,2026-03-24T15:34:16.160554
2793.0,61731.0,cart,2026-03-24T15:34:16.160562
2445.0,14614.0,wishlist,2026-03-24T15:34:16.160571
,,,2026-03-24T15:34:16.160598
4233.0,75801.0,cart,2026-03-24T15:34:16.160607
1775.0,61493.0,wishlist,2026-03-24T15:34:16.160614
,61140.0,,2026-03-24T15:34:16.160629
9162.0,15681.0,purchase,2026-03-24T15:34:16.160641
7715.0,83838.0,wishlist,2026-03-24T15:34:16.160648
4792.0,88432.0,wishlist,2026-03-24T15:34:16.160656
5273.0,51990.0,purchase,2026-03-24T15:34:16.160664
9516.0,38914.0,view,2026-03-24T15:34:16.160673
9463.0,68546.0,cart,2026-03-24T15:34:16.160681
5607.0,15187.0,view,2026-03-24T15:34:16.160689
4765.0,24422.0,wishlist,2026-03-24T15:34:16.160698
3779.0,91287.0,,2026-03-24T15:34:16.160711
2191.0,25837.0,view,2026-03-24T15:34:16.160721
2724.0,39564.0,wishlist,2026-03-24T15:34:16.160729
7533.0,91595.0,purchase,2026-03-24T15:34:16.160738
9600.0,46543.0,cart,2026-03-24T15:34:16.160746
,35682.0,,2026-03-24T15:34:16.160759
1646.0,84290.0,purchase,2026-03-24T15:34:16.160765
