user_id,product_id,event_type,event_time,hour
2937.0,71080.0,purchase,2026-03-24 15:34:16.159913,2026-03-24 15:00:00
3577.0,67609.0,cart,2026-03-24 15:34:16.159939,2026-03-24 15:00:00
3902.0,22820.0,cart,2026-03-24 15:34:16.159948,2026-03-24 15:00:00
4247.0,74808.0,purchase,2026-03-24 15:34:16.159954,2026-03-24 15:00:00
3846.0,83707.0,view,2026-03-24 15:34:16.159960,2026-03-24 15:00:00
9339.0,44011.0,view,2026-03-24 15:34:16.159966,2026-03-24 15:00:00
4713.0,62996.0,purchase,2026-03-24 15:34:16.159971,2026-03-24 15:00:00
7535.0,33306.0,cart,2026-03-24 15:34:16.159977,2026-03-24 15:00:00
2143.0,90248.0,wishlist,2026-03-24 15:34:16.159983,2026-03-24 15:00:00
1362.0,93820.0,view,2026-03-24 15:34:16.160052,2026-03-24 15:00:00
5020.0,44713.0,cart,2026-03-24 15:34:16.160059,2026-03-24 15:00:00
8954.0,55808.0,view,2026-03-24 15:34:16.160065,2026-03-24 15:00:00
3237.0,60055.0,cart,2026-03-24 15:34:16.160071,2026-03-24 15:00:00
2501.0,88877.0,cart,2026-03-24 15:34:16.160076,2026-03-24 15:00:00
5949.0,33163.0,purchase,2026-03-24 15:34:16.160082,2026-03-24 15:00:00
7429.0,89769.0,purchase,2026-03-24 15:34:16.160088,2026-03-24 15:00:00
6848.0,48277.0,wishlist,2026-03-24 15:34:16.160094,2026-03-24 15:00:00
1419.0,57302.0,view,2026-03-24 15:34:16.160099,2026-03-24 15:00:00
9513.0,23870.0,purchase,2026-03-24 15:34:16.160105,2026-03-24 15:00:00
5708.0,75577.0,view,2026-03-24 15:34:16.160111,2026-03-24 15:00:00
2090.0,58919.0,view,2026-03-24 15:34:16.160117,2026-03-24 15:00:00
2995.0,99057.0,purchase,2026-03-24 15:34:16.160123,2026-03-24 15:00:00
6447.0,88272.0,purchase,2026-03-24 15:34:16.160129,2026-03-24 15:00:00
7818.0,58819.0,purchase,2026-03-24 15:34:16.160135,2026-03-24 15:00:00
3948.0,60168.0,purchase,2026-03-24 15:34:16.160140,2026-03-24 15:00:00
5508.0,59887.0,cart,2026-03-24 15:34:16.160145,2026-03-24 15:00:00
4268.0,31210.0,view,2026-03-24 15:34:16.160150,2026-03-24 15:00:00
5519.0,10007.0,view,2026-03-24 15:34:16.160155,2026-03-24 15:00:00
6176.0,68100.0,wishlist,2026-03-24 15:34:16.160160,2026-03-24 15:00:00
7138.0,19170.0,purchase,2026-03-24 15:34:16.160165,2026-03-24 15:00:00
4966.0,88325.0,purchase,2026-03-24 15:34:16.160172,2026-03-24 15:00:00
6097.0,95064.0,view,2026-03-24 15:34:16.160177,2026-03-24 15:00:00
9577.0,53762.0,wishlist,2026-03-24 15:34:16.160182,2026-03-24 15:00:00
2778.0,85350.0,cart,2026-03-24 15:34:16.160187,2026-03-24 15:00:00
6818.0,40232.0,purchase,2026-03-24 15:34:16.160192,2026-03-24 15:00:00
7455.0,72595.0,wishlist,2026-03-24 15:34:16.160198,2026-03-24 15:00:00
9833.0,66019.0,view,2026-03-24 15:34:16.160204,2026-03-24 15:00:00
3238.0,22885.0,view,2026-03-24 15:34:16.160210,2026-03-24 15:00:00
7695.0,34771.0,cart,2026-03-24 15:34:16.160216,2026-03-24 15:00:00
1293.0,77379.0,wishlist,2026-03-24 15:34:16.160222,2026-03-24 15:00:00
7600.0,73976.0,wishlist,2026-03-24 15:34:16.160228,2026-03-24 15:00:00
2014.0,97387.0,cart,2026-03-24 15:34:16.160233,2026-03-24 15:00:00
8364.0,25800.0,cart,2026-03-24 15:34:16.160238,2026-03-24 15:00:00
6512.0,70760.0,wishlist,2026-03-24 15:34:16.160256,2026-03-24 15:00:00
2262.0,15064.0,view,2026-03-24 15:34:16.160278,2026-03-24 15:00:00
4740.0,16520.0,purchase,2026-03-24 15:34:16.160285,2026-03-24 15:00:00
3511.0,99497.0,view,2026-03-24 15:34:16.160295,2026-03-24 15:00:00
2578.0,44629.0,wishlist,2026-03-24 15:34:16.160302,2026-03-24 15:00:00
1061.0,32766.0,wishlist,2026-03-24 15:34:16.160308,2026-03-24 15:00:00
8018.0,98404.0,purchase,2026-03-24 15:34:16.160324,2026-03-24 15:00:00
1929.0,24897.0,wishlist,2026-03-24 15:34:16.160330,2026-03-24 15:00:00
6998.0,12278.0,wishlist,2026-03-24 15:34:16.160337,2026-03-24 15:00:00
5660.0,33125.0,view,2026-03-24 15:34:16.160343,2026-03-24 15:00:00
9543.0,72335.0,wishlist,2026-03-24 15:34:16.160349,2026-03-24 15:00:00
3537.0,35921.0,cart,2026-03-24 15:34:16.160362,2026-03-24 15:00:00
4825.0,71961.0,wishlist,2026-03-24 15:34:16.160368,2026-03-24 15:00:00
1564.0,55840.0,view,2026-03-24 15:34:16.160374,2026-03-24 15:00:00
6841.0,50928.0,cart,2026-03-24 15:34:16.160381,2026-03-24 15:00:00
8611.0,16401.0,view,2026-03-24 15:34:16.160387,2026-03-24 15:00:00
9923.0,80481.0,purchase,2026-03-24 15:34:16.160393,2026-03-24 15:00:00
2919.0,38580.0,wishlist,2026-03-24 15:34:16.160399,2026-03-24 15:00:00
2894.0,28658.0,wishlist,2026-03-24 15:34:16.160407,2026-03-24 15:00:00
2091.0,87791.0,purchase,2026-03-24 15:34:16.160413,2026-03-24 15:00:00
5107.0,27906.0,wishlist,2026-03-24 15:34:16.160418,2026-03-24 15:00:00
3172.0,65160.0,wishlist,2026-03-24 15:34:16.160423,2026-03-24 15:00:00
7553.0,14646.0,view,2026-03-24 15:34:16.160428,2026-03-24 15:00:00
3233.0,92784.0,cart,2026-03-24 15:34:16.160436,2026-03-24 15:00:00
6720.0,37809.0,view,2026-03-24 15:34:16.160445,2026-03-24 15:00:00
3077.0,68394.0,view,2026-03-24 15:34:16.160453,2026-03-24 15:00:00
6464.0,37398.0,wishlist,2026-03-24 15:34:16.160468,2026-03-24 15:00:00
4580.0,72135.0,view,2026-03-24 15:34:16.160477,2026-03-24 15:00:00
1940.0,22923.0,view,2026-03-24 15:34:16.160486,2026-03-24 15:00:00
7219.0,25209.0,view,2026-03-24 15:34:16.160493,2026-03-24 15:00:00
8107.0,81207.0,purchase,2026-03-24 15:34:16.160511,2026-03-24 15:00:00
9384.0,83036.0,view,2026-03-24 15:34:16.160522,2026-03-24 15:00:00
2866.0,87213.0,view,2026-03-24 15:34:16.160531,2026-03-24 15:00:00
4629.0,15669.0,cart,2026-03-24 15:34:16.160538,2026-03-24 15:00:00
2889.0,20424.0,wishlist,2026-03-24 15:34:16.160546,2026-03-24 15:00:00
7514.0,89566.0,cart,2026-03-24 15:34:16.160554,2026-03-24 15:00:00
2793.0,61731.0,cart,2026-03-24 15:34:16.160562,2026-03-24 15:00:00
2445.0,14614.0,wishlist,2026-03-24 15:34:16.160571,2026-03-24 15:00:00
4233.0,75801.0,cart,2026-03-24 15:34:16.160607,2026-03-24 15:00:00
1775.0,61493.0,wishlist,2026-03-24 15:34:16.160614,2026-03-24 15:00:00
9162.0,15681.0,purchase,2026-03-24 15:34:16.160641,2026-03-24 15:00:00
7715.0,83838.0,wishlist,2026-03-24 15:34:16.160648,2026-03-24 15:00:00
4792.0,88432.0,wishlist,2026-03-24 15:34:16.160656,2026-03-24 15:00:00
5273.0,51990.0,purchase,2026-03-24 15:34:16.160664,2026-03-24 15:00:00
9516.0,38914.0,view,2026-03-24 15:34:16.160673,2026-03-24 15:00:00
9463.0,68546.0,cart,2026-03-24 15:34:16.160681,2026-03-24 15:00:00
5607.0,15187.0,view,2026-03-24 15:34:16.160689,2026-03-24 15:00:00
4765.0,24422.0,wishlist,2026-03-24 15:34:16.160698,2026-03-24 15:00:00
2191.0,25837.0,view,2026-03-24 15:34:16.160721,2026-03-24 15:00:00
2724.0,39564.0,wishlist,2026-03-24 15:34:16.160729,2026-03-24 15:00:00
